iter	Passed	Remaining
916	2196	198
917	2198	196
918	2200	193
919	2202	191
920	2204	189
921	2206	186
922	2208	184
923	2210	181
924	2212	179
925	2214	177
926	2217	174
927	2219	172
928	2221	169
929	2223	167
930	2225	164
931	2227	162
932	2230	160
933	2232	157
934	2234	155
935	2236	152
936	2238	150
937	2240	148
938	2242	145
939	2244	143
940	2246	140
941	2249	138
942	2251	136
943	2253	133
944	2255	131
945	2257	128
946	2260	126
947	2262	124
948	2264	121
949	2266	119
950	2269	116
951	2271	114
952	2273	112
953	2275	109
954	2277	107
955	2280	104
956	2282	102
957	2285	100
958	2287	97
959	2289	95
960	2300	93
961	2303	90
962	2305	88
963	2307	86
964	2310	83
965	2312	81
966	2315	79
967	2317	76
968	2320	74
969	2322	71
970	2325	69
971	2327	67
972	2329	64
973	2332	62
974	2334	59
975	2337	57
976	2339	55
977	2341	52
978	2344	50
979	2346	47
980	2348	45
981	2350	43
982	2353	40
983	2355	38
984	2357	35
985	2359	33
986	2362	31
987	2364	28
988	2367	26
989	2369	23
990	2372	21
991	2374	19
992	2377	16
993	2379	14
994	2381	11
995	2383	9
996	2385	7
997	2387	4
998	2389	2
999	2391	0
