iter	Logloss	Accuracy	Precision	Recall	F1
83	0.3755431294	0.8291344982	0.7291462218	0.5680428135	0.6385904598
84	0.3751276648	0.8289313287	0.7284313725	0.5680428135	0.6383161512
85	0.3746280407	0.8303535148	0.7311827957	0.5718654434	0.6417846418
86	0.3741791699	0.8305566843	0.7314453125	0.5726299694	0.6423670669
87	0.3737346529	0.8309630232	0.7315175097	0.5749235474	0.6438356164
88	0.3733561328	0.831369362	0.732038835	0.5764525994	0.6449957228
89	0.372847837	0.8309630232	0.7310679612	0.5756880734	0.6441402908
90	0.3723851711	0.8307598537	0.7303588749	0.5756880734	0.6438648995
91	0.3720571336	0.8309630232	0.7301740812	0.5772171254	0.6447480786
92	0.3716408464	0.831369362	0.7306949807	0.5787461774	0.6459044369
93	0.3712534515	0.8309630232	0.7301740812	0.5772171254	0.6447480786
94	0.371018464	0.8309630232	0.7301740812	0.5772171254	0.6447480786
95	0.3708980779	0.8309630232	0.7292870906	0.5787461774	0.6453537937
96	0.3705813281	0.8309630232	0.7292870906	0.5787461774	0.6453537937
97	0.3703831525	0.831369362	0.7302504817	0.5795107034	0.6462063086
98	0.3697773823	0.8319788704	0.7319189971	0.5802752294	0.6473347548
99	0.3694571143	0.8325883787	0.7335907336	0.5810397554	0.6484641638
100	0.3693561059	0.8327915482	0.7338476374	0.5818042813	0.6490405117
101	0.3690252627	0.8319788704	0.7319189971	0.5802752294	0.6473347548
102	0.3687595755	0.8319788704	0.7314725698	0.5810397554	0.6476352791
103	0.3685169458	0.8319788704	0.7310278578	0.5818042813	0.6479352916
104	0.3682686884	0.8321820398	0.7317307692	0.5818042813	0.6482112436
105	0.3678974009	0.8317757009	0.7303262956	0.5818042813	0.6476595745
106	0.3675524266	0.8311661926	0.7286673058	0.5810397554	0.64653339
107	0.3670483023	0.8309630232	0.7275334608	0.5818042813	0.6465590484
108	0.3667532295	0.8311661926	0.7277936963	0.5825688073	0.647133758
109	0.3663060299	0.831369362	0.7276190476	0.5840978593	0.6480067854
110	0.3662945618	0.8315725315	0.7283126787	0.5840978593	0.648281714
111	0.3660259495	0.8317757009	0.7290076336	0.5840978593	0.6485568761
112	0.365531313	0.8327915482	0.7311725453	0.5863914373	0.6508273229
113	0.3650962447	0.8336042259	0.733079123	0.5879204893	0.6525243954
114	0.3647879149	0.833197887	0.7321258341	0.5871559633	0.6516758591
115	0.3643608601	0.833197887	0.7330143541	0.5856269113	0.6510837229
116	0.3641207311	0.8334010565	0.7337164751	0.5856269113	0.6513605442
117	0.363638302	0.8338073954	0.733778626	0.5879204893	0.6528013582
118	0.3633226246	0.8342137343	0.7356321839	0.5871559633	0.6530612245
119	0.3630134176	0.835026412	0.7380038388	0.5879204893	0.6544680851
120	0.3628480418	0.8346200731	0.7365900383	0.5879204893	0.6539115646
121	0.3625676582	0.8346200731	0.7365900383	0.5879204893	0.6539115646
122	0.3623931167	0.8346200731	0.7365900383	0.5879204893	0.6539115646
123	0.3619526049	0.8352295815	0.7382550336	0.5886850153	0.6550404083
124	0.3616385481	0.8352295815	0.7382550336	0.5886850153	0.6550404083
125	0.3613246639	0.8346200731	0.7365900383	0.5879204893	0.6539115646
126	0.360975408	0.8354327509	0.7380497132	0.5902140673	0.6559048428
127	0.3608173368	0.8354327509	0.7375954198	0.5909785933	0.656196944
128	0.3603634777	0.8354327509	0.7380497132	0.5902140673	0.6559048428
129	0.3598624609	0.8354327509	0.7375954198	0.5909785933	0.656196944
130	0.3596346375	0.8352295815	0.7364414843	0.5917431193	0.6562102586
131	0.3594196051	0.8348232426	0.7359389895	0.5902140673	0.6550700042
132	0.3591173588	0.8356359204	0.7373929591	0.5925076453	0.6570580755
